country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
Norway,0.23801986570663156,0.21463313404471063,0.13150856994248636,0.0,3.272475660484306,0.022194158438624562,0.10559525707796286,0
Poland,0.8591837557054113,0.7469681636750841,0.5963120239652518,0.0,0.05105058811874667,1.2599317695981667,0.9557058974233834,0
Portugal,0.6161228551284299,0.28305593423111514,0.17935968738703595,0.0,0.2283429581155814,0.038021803493369935,0.1616727339342861,0
Romania,0.33418547780628366,0.2518238335077713,0.3185321072953157,0.4364011045615267,0.4031953733504382,0.12633836317910155,0.22175600464511475,0
Slovakia,0.07861100484222154,0.09441111285071262,0.14195452411318465,0.5991595901738457,0.11095795687836091,0.07531099942622604,0.09470060795736805,0
Slovenia,0.031145101746132,0.05907352665479417,0.025070686296734743,0.2252130692497894,0.11480818169463368,0.02839798094314197,0.04128058220269852,0
Spain,2.5945648723937937,1.5107350763072782,1.0567385555008535,2.2608978426521285,0.6593164840870568,0.13853250668744901,0.8758898432839264,0
Sweden,1.2557655747163157,0.31939207908055844,0.030704707734956718,2.592860641728135,1.717050662673711,0.0558672068270741,0.14573520151605174,0
Switzerland,0.15480229807826906,0.2468220016093706,0.09949248203481972,0.8909855884797837,0.9066706983841075,0.0028292664483396106,0.12010639683643107,0
Turkey,1.4286555491297248,1.1290027277919823,1.2647871054232902,0.0,2.32939266792301,1.1188218955494096,1.2053069135589725,0
Ukraine,0.16239377869483604,0.2440213329709041,0.8253305648461683,3.2112042023933105,0.17852503133872277,0.7275819197790866,0.5831691223855167,5
United Kingdom,3.7574370006071334,1.7251464699427554,2.307213777622247,2.1736463162633473,0.15567246629354595,0.17295182320122302,1.217351579239826,0
Azerbaijan,0.008048646850293713,0.11943349535801509,0.3449987545696184,0.0,0.04087704717021038,3.403033770030861e-05,0.10972695054631754,0
Kazakhstan,0.025177036132887708,0.38169808771613206,0.5239073263407812,0.0,0.2609159368995329,1.1026343273208636,0.7544222096683345,0
Turkmenistan,0.0002158343396667634,0.17333384903161325,0.9227671915184613,0.0,8.240202401562287e-05,0.0,0.2697742349155198,0
Uzbekistan,0.00011818515087116827,0.05006947881525703,1.2704440230784007,0.0,0.16982027777474593,0.04794323884568369,0.30974931108463705,0
Iran,0.017133925865591274,2.1785029913100744,6.543939647703283,0.24801486755994304,0.7566959537773749,0.034115458092075834,2.1092959217862965,0
