country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,energy_sum,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Bulgaria,0.04549989785228407,0.2129856714323116,0.1019115,0.1477048466546425,0.030502750231250795,0.20855507311942065,41.02555238484256,0.7471597392899096,6.089714884199535,28.506042313619606,13.639854323100344,19.76884445018667,4.08249382658656,27.913050202307275,54.90867645496087,5
Croatia,0.022347538306380924,0.1415468581171559,0.1060069952482466,0.0,0.052070632208186925,0.01806608273440175,16.598036136030508,0.34003810661437206,6.5720687980787575,41.626763402044325,31.17503397007978,0.0,15.31317555159746,5.312958278199685,48.81228254471458,1
Cyprus,0.005049024961081524,0.11089214605,0.0,0.0,0.0,0.0006996553200000117,8.195564722369003,0.11664082633108153,4.328694437357651,95.07146814549816,0.0,0.0,0.0,0.5998374171442002,70.26326013077218,4
Czech Republic,0.08485522322818519,0.4290075502311368,0.2996981999999999,0.2696261007783695,0.017892050798852942,0.6041165147133081,98.77794430298992,1.7051956397498524,4.976274935856229,25.158846306578113,17.575590331908476,15.812033205639848,1.0492667458073994,35.42798847420993,57.92763129366222,5
Denmark,0.2198425705893357,0.3328707464070915,0.10509820700584402,0.0,0.00015097954142125668,0.03885820915780548,33.453467168899714,0.696820712701498,31.549373688538907,47.769927090224954,15.082532004307064,0.0,0.021666913550248162,5.576500303378818,48.00871523925324,4
Estonia,0.018001077007444674,0.06410410067550333,0.015489412601626016,0.0,0.00014245203048326952,0.14094658218182285,20.26163905470429,0.23868362449688013,7.541814837691124,26.857351781307997,6.4895162515970926,0.0,0.05968236437817775,59.051634765025604,84.88910413277695,3
Finland,0.17749757875689612,0.38720721687935744,0.07275200000000001,0.2043710610405572,0.10952473904137648,0.14633300000000005,42.976555116603095,1.0976855957181872,16.17016561475092,35.274874553311214,6.62776302101334,18.618360470225767,9.977787762598568,13.331048578100194,39.15197146090329,4
France,0.6140236714813938,3.1493914334396,1.5636489723000002,3.5607197926758234,0.5216569763256895,0.2696949237483794,299.2430017407965,9.679135769970886,6.34378611969032,32.53794045549454,16.154840777739228,36.787579772595066,5.389499524783075,2.786353349697776,30.91629344317965,0
Germany,2.117453836581867,4.677584200008902,3.191646461488673,0.6692134761818926,0.18000200015285536,2.3040000000000003,683.7664771901951,13.139899974414192,16.11468763616877,35.59832425754398,24.28973179174421,5.092987598725824,1.3698886635617655,17.534380052255443,52.0374187415136,0
Greece,0.11015466226189324,0.6757333668577911,0.18529727993421466,0.0,0.035705660364046043,0.13865856477119418,71.70000268120995,1.1455495341891393,9.615879451242119,58.98770386529808,16.17540528837757,0.0,3.116902351090368,12.104109043991855,62.59005005135964,1
Hungary,0.04534057681467493,0.36887393213124864,0.3531926293479221,0.14520632527652602,0.0019611634575993444,0.07872085876265149,47.38227863495175,0.9932954857906224,4.5646615194858855,37.13637456407447,35.557659769972204,14.618643430252554,0.1974400856194709,7.925220630595428,47.70209802900433,6
Iceland,0.054436363900256315,0.04042000907693031,0.0,0.0,0.11997004682840084,0.0048,3.2561754223440267,0.21962641980558748,24.785890490061803,18.403983051178432,0.0,0.0,54.62459704738524,2.1855294113745254,14.825973237766119,4
Ireland,0.1019360070907922,0.32191040597535914,0.1913718491886745,0.0,0.007903334674938253,0.040153539977442775,37.70705695416358,0.6632751369072069,15.368585586685906,48.53346493227514,28.85255884624659,0.0,1.1915620283598751,6.053828606432494,56.849797099267505,1
Italy,0.6358400508331702,2.48886908739808,2.5484621299164463,0.0,0.4023943697545917,0.2979491811617315,325.3646249008794,6.373514819064019,9.976285752584886,39.050181227374665,39.98519188021124,0.0,6.313539407658979,4.674801732170237,51.049481194845754,6
Latvia,0.011611241014545168,0.07815454281551422,0.04722795,0.0,0.01878939044634169,0.003056364,8.46427965581725,0.15883948827640107,7.310046853298924,49.2034717963302,29.733129030117066,0.0,11.829168332276256,1.9241839879775582,53.288258150821534,1
Lithuania,0.022795395985251942,0.138040755,0.077657616,0.0,0.003084375256042605,0.008532436937040939,12.321714173216439,0.25011057917833546,9.114127063373125,55.19188970474267,31.04931277002404,0.0,1.233204635395836,3.4114658264643363,49.26506593082067,1
Luxembourg,0.011060444371602793,0.12701374064975585,0.028637577193305883,0.0,0.0009460968941604537,0.0023390482607971463,10.906397332556024,0.16999690736962214,6.50626210955368,74.71532430504249,16.845940103509978,0.0,0.556537709302774,1.375935772591076,64.1564455572264,1
