country,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Greece,0.33255218375496637,63.8824103161387,5.2033542728915885,0.0,2.723093602233017,27.858589624981718,76.4600168877703,4
Hungary,0.06453712617199503,29.454564219250738,40.14298606995869,14.079022294136765,0.17673243782484796,16.082157852656955,54.98821809127241,2
Iceland,11.47695787831343,29.9837139607259,0.0,0.0,55.104197579228334,3.4351305817323414,24.131504040820438,3
Ireland,0.5459771814522651,57.24569239322971,23.21217660926301,0.0,1.362281914649512,17.63387190140551,70.18889620964765,5
Italy,0.8915353773532703,53.6012647490966,32.61345610095651,0.0,5.899081389074034,6.994662383519593,57.49399773420036,5
Latvia,0.03728752171601311,40.644167716776444,34.18688279738905,0.0,21.022704743488188,4.108957220630289,51.802142459715355,5
Lithuania,0.0,36.22116824316438,30.98955813094667,30.18706328988853,1.2165899244873717,1.3856204115130446,39.0225361535512,2
Luxembourg,0.35226345094550676,74.28576512069355,21.00644546958937,0.0,0.9230072185334439,3.432518740238159,67.5397009699961,4
Netherlands,0.7872506481137598,48.34867736017204,40.76438299049636,1.082632621341853,0.03933430092271971,8.977722078953255,59.722688443902214,5
North Macedonia,0.0,36.779585046731846,1.8751200216820394,0.0,10.607728582187342,50.737566349398776,79.20528336812872,0
Norway,0.1459002747586852,19.157322464808832,7.634145399882171,0.0,70.98235385276526,2.080278007785054,16.990138705072688,6
Poland,0.06172507897039169,23.65963138715669,11.388891589628786,0.0,0.5751903376621453,64.31456160658199,81.87396482953451,0
Portugal,1.4765986004076814,64.9116991593649,7.9423430328392195,0.0,10.818898636221157,14.850460571167051,58.617619844952884,4
Romania,0.0,27.918185040320264,38.120067176491666,3.6313116895656696,9.835689909897626,20.494746183724786,59.140023461489776,5
Slovakia,0.0,18.880980141178927,31.039248442686144,21.16880309144353,5.9230038963872875,22.987964428304096,46.63316547803688,2
Slovenia,0.2504896105573468,36.290172338526325,12.364475350900081,17.036871940907545,13.71967381252668,20.33831694658202,50.09412320722607,2
Spain,1.1960549383906494,54.304816381330824,11.659670528208842,11.384950765207826,5.41190550955206,16.042601877309796,56.61882213333929,2
Sweden,2.0406180178512194,30.97595459653099,1.3030915588369758,25.671655467770083,35.19752553003079,4.811154828979936,25.860363076222118,2
Switzerland,0.6612305887871579,41.674747895757406,7.953503233250961,20.5021337968692,28.757935784355126,0.4504487009801536,33.6563145246885,2
Turkey,0.08888856588506416,43.28394828826293,16.23501703274034,0.0,9.98452376021082,30.407622352900855,66.50954888698202,0
Ukraine,0.0010538767120244282,9.17034549773314,46.91772076068634,13.584646464113554,1.9802343418939015,28.34599905886104,58.9852909139554,2
United Kingdom,0.5044194467229524,35.904981530543495,38.110384658169394,8.885709331917484,0.5312601177720682,16.063244914874595,59.16222336484237,5
Azerbaijan,0.0,56.57483125166392,40.17912545578527,0.0,3.2460432925507905,0.0,60.14760835636472,5
Kazakhstan,0.0,24.729582708475423,14.023804827917893,0.0,5.610094107756144,55.63651835585054,76.3214928254684,0
Turkmenistan,0.0,40.22795009589201,59.764737999204506,0.0,0.00731190490346984,0.0,62.35980226193476,1
Uzbekistan,0.0,14.077766782641351,81.79177311973919,0.0,2.744207144874245,1.3862529527452265,55.874400038507105,1
Iran,0.007089728307230772,56.63375504710021,41.56468146358054,0.0,0.7344181569764261,1.0600556040355762,60.97107331880037,5
Iraq,0.0,87.0718707943444,9.969860643062251,0.0,2.958268562593336,0.0,68.87239613645814,4
Israel,0.0,68.79724273341527,0.0392132557848467,0.0,0.03684611236054891,31.126697898439325,73.5147786386558,4
