country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,energy_sum,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Ireland,0.046478174348857634,0.2999824074107418,0.17312418000000004,0.0,0.006592872621951214,0.08160073200000001,38.60844396132784,0.6077783663815506,7.647224205357715,49.35720387625957,28.484755229230434,0.0,1.0847494722792332,13.426067216873061,63.52388649695746,5
Italy,0.4030748948849694,2.9711271199750287,2.6717785571346258,0.0,0.4274950609756094,0.641771921412,386.43669930791685,7.1152475543822336,5.664945482279365,41.75718549869893,37.55004357492938,0.0,6.0081544276322205,9.019671016460094,54.31106877931648,6
Latvia,0.0028790372737465823,0.06853707454993152,0.05464955752212389,0.0,0.0269335975609756,0.004647348,8.299961009812412,0.1576466149067776,1.826260129625407,43.47513239688659,34.66586171510263,0.0,17.084792830408986,2.947952927976381,52.64915465974638,0
Lithuania,0.0077930404878048766,0.1086524204,0.11383071840000004,0.0,0.004477115853658535,0.0100357596,12.382668099561124,0.24478905474146345,3.1835739126635296,44.38614321001991,46.501555602730505,0.0,1.8289689701964362,4.09975830438962,50.58505623398567,6
Luxembourg,0.003623699794031002,0.12560237597035492,0.043218992699999986,0.0,0.0005877439024390245,0.0024450912000000004,11.728162397839014,0.17547790356682494,2.065046208311371,71.5773173814579,24.6293076344746,0.0,0.3349389812006739,1.3933897945554545,66.83555114033337,0
Netherlands,0.1283537008832903,1.9672450491980893,1.4734000000000005,0.03863040091463412,0.0005317682926829265,0.3117,219.4369597918499,3.919860919288697,3.274445280741785,50.18660329293183,37.58806831001967,0.9855043765594633,0.013565998989051423,7.951812740758196,55.98080245961104,6
North Macedonia,2.300121591041727e-05,0.04092753059306717,0.004617077436000002,0.0,0.013368841463414624,0.061907657652000014,9.345372622828354,0.12084410836039222,0.019033791735895776,33.8680396987244,3.8206889012996283,0.0,11.06288229091389,51.22935531732619,77.33411872226107,2
Norway,0.02010541730320517,0.4337016630296571,0.14471091490941002,0.0,1.122227012195121,0.0354,36.308113354343035,1.7561450074373934,1.1448608866612586,24.69623300996792,8.240260018196075,0.0,63.902867214405035,2.0157788707697026,20.67489484101581,1
Poland,0.12955167317073166,1.1583740871967214,0.5922910000000001,0.0,0.021755853658536568,2.301184,324.0116249927896,4.20315661402599,3.0822471077669578,27.559622292712376,14.09157579385734,0.0,0.5176074949464646,54.748947310716865,77.0876878371742,2
Portugal,0.1301979863650731,0.5088011213008495,0.18913254072838206,0.0,0.10762243902439016,0.092982840876,51.4228205704252,1.0287369282946948,12.65610116484282,49.45881763419083,18.38492772315476,0.0,10.461609383731615,9.038544094079986,49.98636595622869,5
Romania,0.022699419512195115,0.3805428679999999,0.4649463,0.1095927804878048,0.13740146341463408,0.34367414788799994,85.06664683017918,1.4588569793026338,1.5559729181297774,26.085001710168182,31.870588179401565,7.512236089119072,9.41843274316822,23.557768360013185,58.31047733743094,4
Slovakia,0.018806636585365844,0.158061225,0.1941444,0.14377335365853647,0.033939878048780465,0.15285039649200002,33.69835360531283,0.7015758897846829,2.680627549948687,22.529455088388197,27.672615725090534,20.492915413991952,4.837663115703247,21.78672310687737,48.032371260156935,4
Slovenia,0.004468483600432697,0.11141107475871467,0.030890121609600005,0.05798140243902435,0.03323085365853657,0.06093757609200001,15.212386342213776,0.2989195121583083,1.4948785270551963,37.27126207127996,10.333926141710194,19.396994870083052,11.116990462950257,20.385947926921332,50.89124571485741,4
Spain,0.5906587733135538,2.836485405370721,1.2112589997357124,0.5385879877566042,0.2854382926720787,0.5355335880000001,309.895385225735,5.997963046848669,9.847656090910496,47.29081161747089,20.19450587265802,8.979514937818406,4.758920494217583,8.928590986924627,51.666771336404636,5
