index,country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
48,Turkmenistan,0.0,0.12038522346346905,0.35900219098494124,0.0,0.00013490829128427666,0.0,0.12422893753255725,0
50,Uzbekistan,0.0,0.2092350618518602,2.4401533330790968,0.0,0.2514666596259551,0.0320460561738414,0.5528232875361642,3
51,Iran,0.014137389117205303,2.0227991202247493,2.9799477766264784,0.0,0.16172740943115088,0.0588894440380015,1.4496861817743247,3
52,Iraq,0.0,0.6527390178064044,0.15002290972244609,0.0,0.13672946766918806,0.0,0.3437000946554674,0
53,Israel,0.0,0.4015643781450424,0.0004594347584213912,0.0,0.0013259851077401948,0.28258467669973963,0.2856482465937113,0
54,Kuwait,0.0,0.3457297859634895,0.4572126772493596,0.0,0.0,1.1260455243971378e-06,0.2369905765560448,0
55,Oman,0.0,0.09452012524552904,0.3844147346430225,0.0,0.0,1.12775741691874e-05,0.11723341494897413,0
56,Qatar,0.0,0.053536401423796766,0.5663641770673079,0.0,0.0,0.0,0.10371914270733217,0
57,Saudi Arabia,0.0,2.152174930435061,2.3722670264365213,0.0,0.0,0.0,1.2847870256149094,3
58,United Arab Emirates,0.0,0.5805055882636212,1.5362872351752948,0.0,0.0,0.0,0.5745622715283768,3
59,Algeria,0.0,0.2575799691511204,0.9576045673644694,0.0,0.002309780510257114,0.021911367858766517,0.28908817467404685,0
60,Egypt,0.03125718634954708,0.8072594000401605,0.9650596531853258,0.0,0.6064457050819511,0.0392782728455468,0.5480995381544067,3
61,Morocco,0.024788846671264096,0.20850310215630688,0.002215226603979863,0.0,0.030711526043789024,0.12130313958925383,0.14585371608033748,0
62,South Africa,0.18855016499330265,0.6601019354992305,0.05713166874845409,0.5314153771355377,0.04709385244480376,3.3717117109042616,1.7164033222177018,3
63,Eastern Africa,0.5809355913895407,0.41033008539735816,0.00011602581332651797,0.0,1.319746507995833,0.13770953738699224,0.25044318057794696,2
64,Middle Africa,0.002711280104669511,0.13277364085656382,0.03501787884415325,0.0,0.4859008266825799,7.377532233249142e-08,0.06706096129769859,0
65,Western Africa,0.0640408233990389,0.5569461544264434,0.3653279566462063,0.0,0.6397650588610884,0.002435629649268882,0.3279438602904346,0
66,Australia,0.4145353617175064,1.1680058080905231,1.0304871643425042,0.0,0.7043333476323845,2.298074782547166,1.6544800538292774,3
67,Bangladesh,0.0,0.0986231178436053,0.4541138910742003,0.0,0.03203751115152924,0.014903073321737625,0.10859455304130856,0
70,Indonesia,1.887205883141675,1.6464018634875268,1.6546462805156177,0.0,0.4284215109395416,0.5946157978634486,1.2435340624751952,1
72,Malaysia,0.22112542079944825,0.6801739996311849,1.4415239921250234,0.0,0.29915934979144915,0.1122375908569804,0.6062715423811506,3
73,New Zealand,1.3942110398007383,0.18885855500466367,0.2946712912061061,0.0,1.0451743847182182,0.04995588558052784,0.1500940270849509,2
74,Pakistan,0.3589347532853194,0.5571621492999138,0.9000121259121849,0.03863081779637294,0.7510326696383584,0.09162114230428556,0.4516986498631175,0
76,Singapore,0.09489480366343288,1.0631083429612325,0.08309162982701444,0.0,0.0,0.0,0.4946082267391658,0
78,Sri Lanka,0.0014842321944419374,0.10179667938418424,0.0,0.0,0.13705585626688666,1.5369582155778087e-05,0.04880414612576648,0
79,Taiwan,0.41042260136678377,1.3187082134258286,0.3392696428986802,1.5727113601817166,0.19504729155935133,1.2421987696903327,1.0887242688037813,3
80,Thailand,0.20408095493551168,1.0518431843534841,1.0625867623923315,0.0,0.2519989357124298,0.3562033046765761,0.7838526366397031,3
81,Vietnam,0.0,0.2478996212774793,0.07740530413081262,0.0,0.6224003000879863,0.211851879956184,0.21691612393107576,0
